SA_SQ_KM,lagoslakei
0.154,10280
0.374,117211
0.142,99719
0.349,63474
0.296,138200
0.056,65535
0.102,123576
0.067,62374
0.328,11305
0.096,118256
3.583000000000000,119315
0.07063718,69628
0.619,58281
1.447000000000000,19577
3.304000000000000,20641
0.065,54198
0.141,6548
0.15,111025
0.961,115132
0.06,80060
0.319,29034
0.096,51041
0.068,82136
0.157,22836
0.05350887,34249
0.088,120408
0.06,125685
0.675,38456
0.251,107902
0.225,54199
0.135,46847
0.429,30090
0.05249042,141215
0.069,81083
0.185,107903
0.06409534,101762
0.347,13337
0.047,90526
0.049,66566
0.089,122516
0.431,24926
0.266,135123
0.053,140252
0.04379153,83199
0.131,18512
0.209,84293
0.429,58284
0.089,114040
0.2,118258
0.04,138198
0.129,100718
0.08,134105
0.081,56194
0.193,72658
0.096,32238
0.07,74767
0.068,65538
0.293,16410
0.3,106907
0.062,29035
0.079,52113
0.043,17454
0.827,116194
0.289,74768
0.089,114041
0.109,93623
0.146,90528
0.064,127830
0.214,104830
0.135,115134
0.117,65541
0.062,6853
0.119,61349
0.04,19578
0.07,114043
0.271,38457
0.157,46848
0.315,62377
0.04,134104
0.137,70643
0.055,12347
1.321000000000000,59349
0.23,58286
0.057,96641
0.081,101764
0.101,72660
0.06384351,17455
0.042,54200
0.074,126789
0.12922426,30092
1.213000000000000,6835
0.06,9312
0.07,118262
0.728,116195
0.071,112069
0.137,97711
0.042,101765
0.055,17456
0.08,72661
0.21934754,43807
0.067,36335
0.067,83202
0.05346494,23912
19.092475980000000,40610
23.175883859999999,122517
0.04028089,59350
0.04143515,51043
0.04099035,24928
0.10409176,109973
6.230093880000000,25980
0.11183112,60315
0.05253523,42776
0.05643017,53177
0.05491242,75845
0.04523256,90530
0.06268195,117214
0.04199487,92562
0.1287282,131994
0.05037981,136107
0.05049114,91524
0.12804504,32239
0.25138409,6504
0.05821133,84297
0.04079256,38459
0.0468047,99721
0.15474062,50005
0.26526036,47901
0.21664564,44843
0.17255215,96643
0.08117753,116197
0.11962662,6542
0.06309511,99722
0.15385375,7371
0.05565561,140251
0.09243145,39547
0.55484293,6480
0.10594342,76877
0.04656723,22839
0.04059476,120410
0.12348911,100720
0.10929938,25981
0.04522638,56197
0.17669138,17458
0.28191525,104831
0.06335544,77926
0.05443141,134102
0.09643869,81085
0.04023248,114044
0.11047917,66567
0.06176876,104833
0.4200639,57242
0.10395471,95623
0.06750269,141213
0.30249257,92566
0.24082897,89513
0.08594586,61351
0.11741943,21721
0.07562616,131993
0.36533315,67615
0.06949117,85272
0.11394308,108959
0.13167151,41722
0.05210739,122518
0.33205041,133041
0.42582237,140250
0.16988844,115136
0.11422814,81086
0.06581044,32240
0.23542047,6428
0.13641495,67616
0.16557626,6550
0.10673522,141211
0.09386938,75846
0.1951376,9311
0.08120974,45830
0.06926282,67617
0.08543141,43811
0.0460708,116198
0.13471328,9310
0.08246538,62388
0.05842908,18516
0.208,62381
0.123,46881
0.099,62382
0.08,85306
0.048,141207
0.072,9308
0.224,53181
0.086,135121
0.428,6528
0.097,37418
0.279,134097
0.144,61358
0.092,93625
0.115,53182
0.468,47907
0.109,12356
0.048,133035
0.054,9307
0.041,67623
0.062,109980
0.226,41726
0.213,82138
0.057,133033
0.126,17463
0.09,72666
0.047,86335
0.059,99728
0.154,67624
0.042,54203
0.069,130967
0.079,46856
0.131,7277
0.079,16416
0.128,52128
0.061,59359
0.087,86336
0.072,123583
0.044,108966
0.165,7160
0.069,21735
0.194,115138
0.122,140244
0.068,139192
0.063,87406
0.191,95629
0.154,6922
0.046,65547
0.071,34257
0.108,121478
0.061,70649
0.07,95630
0.043,65548
0.092,80067
0.125,50018
0.121,14395
0.046,99731
0.055,99732
0.44,6412
0.443,22846
0.045,113111
0.092,21736
0.432,16426
0.246,43815
0.049,63483
0.155,94636
0.062,130964
0.105,69634
0.062,59363
0.146,45837
0.107,87408
0.06,63486
0.045,92569
0.201,89523
0.054,140241
0.043,127823
0.05,76888
0.047,130963
0.242,6832
0.07,91534
0.041,137081
1.550000000000000,30101
0.052,80069
0.293,124619
0.137,62390
0.116,60324
0.042,50020
0.076,125690
0.068,24940
0.182,6427
0.076,38468
1.025000000000000,6519
0.052,14401
0.089,64512
0.064,131987
0.053,20654
0.306,7274
0.178,32245
0.041,134088
0.069,134087
0.374,6488
0.122,116206
0.471,25994
0.051,63485
0.04,12363
0.042,100729
7.758000000000000,7090
0.085,92572
0.091,83210
0.156,93633
0.1,72674
0.183,27032
0.564,6529
0.101,51054
0.086,51055
0.096,83211
0.069,24946
0.12,109987
0.095,124620
0.075,52124
0.105,24942
0.058,23925
0.067,97720
0.094,11325
0.055,38472
0.045,60329
0.142,55198
0.116,95636
0.133,59377
0.088,20656
0.128,115144
0.061,13353
0.077,63496
0.047,65556
0.049,17469
0.554,6509
0.083,13354
0.048,58292
0.05,54213
0.047,137073
0.092,27033
0.064,98744
0.055,101775
0.049,129908
0.051,135113
0.427,6951
0.081,124623
0.057,34267
0.074,16425
0.079,85287
0.049,17471
0.251,17472
0.064,93632
0.098,116210
0.104,127818
0.053,106924
0.055,25996
0.048,109990
0.153,128850
0.042,13355
0.043,128849
0.383,126778
0.376,9298
0.124,76893
0.053,36349
0.042,66579
0.044,71642
0.195,35294
0.042,36350
0.141,12369
0.053,95638
0.058,76895
0.205,60332
0.165,75858
0.072,19595
0.23,43822
0.074,21743
0.092,13356
0.191,112088
0.054,77945
0.118,11329
0.227,96651
0.185,108974
0.153,32250
0.046,48968
0.142,20660
0.085,61371
0.042,27038
0.099,43825
0.052,57259
0.211,42799
0.043,27040
0.067,29049
0.163,31180
0.143,123591
0.042,13358
0.052,130949
0.068,46864
0.153,114057
0.193,130947
0.109,122531
0.282,7352
0.041,123782
0.048,46867
0.09,63491
0.048,52127
16.803999999999998,86349
0.072,44853
0.055,35299
0.057,95642
0.08,72677
0.405,25998
0.949,36352
0.046,95643
0.123,93636
0.097,124629
0.126,22851
0.122,76900
0.064,11333
0.069,105925
0.049,66587
0.101,39564
0.157,91537
0.246,7402
0.058,72679
0.048,51060
0.146,113123
0.16,139178
0.072,117232
0.061,70662
0.049,105928
0.16,101782
0.05,101783
0.112,45844
0.111,7171
0.916,39566
0.1,87424
0.983,6547
0.042,71647
0.235,73731
0.056,139176
0.06,37434
0.089,123596
0.044,29054
0.045,129900
0.044,35303
0.077,127810
0.047,89533
0.058,52130
0.817,59370
0.072,35304
0.043,62405
0.12,114061
0.087,68630
0.042,54225
0.068,100749
0.049,14420
0.171,47919
0.047,101785
0.064,41745
0.075,15394
0.079,72682
0.049,42805
0.05,141191
0.04,41746
0.258,29058
0.122,80081
0.06,90549
0.129,102755
0.145,70664
0.046,61382
0.06,23934
0.044,140221
0.048,34278
0.663,104854
0.048,37438
0.41,7131
0.078,122534
0.175,60339
0.258,116222
0.096,106934
0.405,71651
0.091,68634
0.126,6784
0.098,112096
0.052,131975
0.256,106930
0.085,92587
0.053,66599
0.32,6546
0.05,41748
0.054,97733
0.055,94654
0.048,116224
0.045,112102
0.423,128842
0.067,118288
0.546,6479
0.108,107926
0.55,46877
0.098,118290
0.225,128841
0.08,114067
0.292,50036
0.114,81100
0.044,100745
0.045,61377
0.067,87428
0.092,65570
0.042,122536
0.077,65571
0.063,129894
0.07,93646
0.058,66596
0.073,51065
0.077,31190
0.075,47922
0.161,42811
0.065,114068
0.38,89535
0.055,106933
0.044,30117
0.076,118295
0.05682932,130934
3.226223040000000,88487
2.607136410000000,6682
0.08886635,59376
0.0922522,39572
0.14882014,101793
0.05623374,53208
0.04341642,32254
0.07598745,119341
0.06520207,30118
0.04355147,41751
0.05086254,32255
0.07009369,84317
0.2721561,80091
0.04262879,77959
0.04257607,17487
0.08635535,70668
0.067875,67639
0.12453977,97735
0.10150854,6424
0.17798541,6806
0.08496666,43831
0.12881229,7156
0.09457819,64535
0.07880218,133000
0.059,19797
0.054,138989
0.612,7148
0.1,120608
0.086,55376
0.086,82335
0.01,62597
0.154,58471
0.132,104023
0.083,79247
0.047,111232
0.235,105042
0.112,129707
0.041,85485
0.055,73948
0.139,9094
0.095,13570
0.111,81320
0.043,87616
0.095,78163
0.041,73949
0.243,11530
0.108,21943
0.233,114283
0.04,102932
0.06,51269
0.609,92779
0.06,82336
0.736,138988
0.175,80281
0.056,102933
0.075,63692
0.078,50232
0.651,29254
0.232,32426
0.123,114284
0.063,85487
0.087,83426
0.055,116404
0.197,76054
0.076,96840
0.208,31396
0.042,66787
0.079,72867
7.635000000000000,89722
0.048,94836
0.068,138986
0.075,125887
0.062,106098
0.091,23036
0.078,82338
0.051,130744
0.451,39764
0.137,27222
0.187,82339
0.058,33402
0.162,115322
0.042,54422
0.098,99934
0.124,14606
0.047,109199
0.059,23037
0.041,33403
0.05,118493
0.096,136865
0.094,32428
0.072,137993
0.051,45032
0.066,98944
0.043,14607
0.069,38662
0.191,123771
0.219,6511
0.044,76055
0.076,133903
0.064,61561
0.147,24129
0.053,110167
0.069,73960
0.066,71846
0.116,93830
0.141,85488
0.061,138984
0.072,21947
0.085,33405
0.14,135916
0.135,17657
0.12,77087
0.046,26197
0.126,125889
0.053,133902
0.043,17658
0.078,46051
0.175,24130
0.049,115326
0.103,76059
0.085,129704
0.084,115327
0.143,62600
0.054,93833
0.184,65745
0.084,102934
0.965,44025
0.123,93834
0.077,118495
0.041,71849
0.044,104025
0.099,38664
0.053,28187
0.128,99935
0.116,67823
0.216,86546
0.063,114290
0.088,63702
0.06,70854
0.06,49158
0.063,102936
0.077,11533
0.045,49159
0.072,37639
0.042,110169
0.194,46053
0.041,69861
0.08568585,52313
0.072,76060
7.269000000000000,7118
0.116,39765
0.102,26201
0.048,95847
0.066,15593
0.054,123773
0.047,116409
0.057,118497
0.044,51274
0.101,122720
0.869,6667
0.065,40841
0.046,73955
0.19,51275
0.053,122722
0.188,76061
0.083,71850
0.092,61565
0.417,38665
0.068,106102
0.07,48128
0.084,29258
0.084,79250
0.167,105047
0.071,54427
0.121,63696
0.056,46054
0.057,19801
0.044,118498
1.979000000000000,70855
0.056,45036
0.066,113276
0.049,29259
0.109,97934
0.048,126585
0.057,10503
0.246,67827
0.112,20850
0.081,87625
0.073,125891
0.064,82345
0.045,133898
0.153,109202
0.05,113274
0.056,31403
0.087,91731
0.135,24131
0.044,141015
0.049,46055
0.061,26203
0.159,13576
0.154,35517
2.924000000000000,117413
0.087,37640
0.051,137987
0.112,126584
0.065,50236
0.13,11540
0.15,44028
0.053,58477
0.092,49161
0.137,70859
0.05,61567
0.099,71852
8.391000000000000,53405
0.05,105048
0.13,90739
0.051,125893
0.053,118499
0.046,17662
0.046,135914
0.074,47059
0.111,89725
0.549,119553
0.045,21948
0.074,87627
0.057,114293
0.144,14610
0.08,130740
0.062,109205
0.076,49162
0.058,54429
0.056,54430
0.053,54431
0.048,138980
0.301,89726
0.043,18737
0.059,65753
0.061,23043
0.041,141012
0.109,26206
0.04,130739
0.071,48132
0.056,114294
0.574,44030
0.048,110176
0.114,98948
0.046,110177
0.051,52317
0.106,18738
12.975000000000000,6561
0.178,21949
0.083,108109
0.055,100933
0.118,126582
0.063,86549
0.049,47061
0.051,117401
0.101,40842
0.054,102943
0.045,37641
0.103,129702
0.157,112309
0.096,101972
0.164,52319
0.198,53406
0.042,89728
0.043,76062
0.101,117402
0.211,117403
0.04,101973
2.380000000000000,21950
0.05,109206
0.053,134895
0.07,140020
0.07,23044
0.376,97936
0.045,105052
0.099,14613
1.376438450000000,36565
0.16738011,133895
0.25693711,130736
0.05040744,92786
0.05585464,69865
0.14468256,17665
0.04797848,100935
3.491726640000000,6974
0.92667456,82349
0.67069883,6410
0.84225202,129700
0.137,82350
0.06,91733
0.065,19804
0.119,13578
0.044,81316
0.06,54434
0.257,102944
0.061,27228
0.058,17667
4.434000000000000,76064
0.051,88675
12.042000000000000,54437
0.045,29261
0.109,74993
0.062,86552
0.04,66796
0.062,61571
0.1,31408
0.317,18740
0.046,25172
175.610999999999990,6490
0.052,115335
0.081,52322
0.076,97940
0.168,119555
0.045,123784
0.057,88676
0.067,26209
0.059,121694
0.057,127612
9.167999999999999,91736
0.643,36566
0.18,88678
0.6,110179
0.401,93839
0.253,129699
0.886,6525
0.484,14618
0.046,31409
0.041,126578
0.911,119557
0.072,76065
0.041,13580
0.042,76067
0.118,100944
0.042,100939
0.042,94848
0.141,133893
0.053,70865
0.079,91735
0.054,140018
0.043,83429
0.045,77095
0.064,94849
0.064,108114
0.309,9079
0.046,126576
0.233,83430
0.167,65765
0.05,135910
0.05,98949
0.085,135909
0.137,127611
0.092,98950
0.062,93840
0.236,37642
0.049,38675
0.06,61570
0.062,101975
0.041,127610
0.407,117405
0.062,138979
0.104,131804
0.421,47065
0.101,63705
0.967,6690
0.147,54439
0.043,27230
0.068,110182
0.105,77100
0.094,36570
0.18,26212
0.07,49166
0.115,24136
0.092,82356
0.533,59574
1.989000000000000,89733
0.253,6949
0.049,109208
0.086,99940
0.042,126573
0.093,23048
0.094,61572
0.19,137976
0.212,26213
0.229,116417
0.054,59576
0.155,6953
0.06,84514
0.069,89734
0.167,77099
0.076,134893
0.114,15600
0.109,18741
0.067,79258
0.041,71856
0.05,131803
0.193,60530
0.228,60527
0.085,43021
0.084,58488
0.084,13581
0.044,128639
0.127,30353
0.04,18742
0.08,73961
0.076,78174
0.068,25175
0.22,34482
0.071,19809
0.047,18743
0.101,37643
0.258,135907
0.045,104033
0.102,71859
0.084,16612
0.09,59577
0.39,49197
0.059,94851
0.077,73962
0.386,37644
0.09,33417
0.05,58485
0.046,92791
0.048,78176
0.139,52325
0.049,128638
0.225,32439
0.39,52326
0.08,100941
42.606999999999999,44035
0.092,119560
0.052,130732
0.118,109232
0.053,74996
0.049,21955
0.073,105056
0.19,68805
0.091,35521
0.046,113277
0.066,86563
0.044,26216
0.046,119561
0.154,62607
0.04,21960
0.069,92790
0.05,96850
0.173,76071
0.166,129692
0.087,85498
0.275,28195
0.07,89738
0.073,19810
0.066,110185
0.091,77106
0.069,119562
0.045,121696
0.209,41960
0.107,140016
0.05,138975
0.827,10509
0.047,11545
0.176,118509
0.099,70871
0.087,108116
0.323,58486
0.192,107140
0.06,62608
0.398,68806
0.07,84513
0.07,85499
0.076,25177
0.047,134891
0.128,124840
9.465000000000000,7200
0.289,102951
0.42,85502
0.07,21957
0.071,51283
0.058,131802
0.076,26217
0.098,34484
0.076,141004
0.064,55384
0.193,66804
0.353,62611
0.068,130731
0.073,90745
0.069,141003
0.279,90743
0.079,102952
0.057,89737
0.096,111239
0.273,20858
0.064,95852
0.338,121698
0.049,83432
0.262,125901
0.051,58511
0.14,119563
0.073,88682
0.169,73965
0.041,68807
0.048,55385
0.101,56412
0.053,31418
0.083,102957
0.072,97942
0.041,9076
0.04,98955
0.744,41961
0.086,97943
0.22,88685
0.072,83433
0.063,51286
0.054,32438
0.04,81322
0.061,106111
0.058,37651
0.084,131801
0.459,77104
0.078,100946
0.107,24138
0.054,122727
0.065,57464
0.076,91740
0.061,69869
0.083,137974
0.046,79259
0.152,120620
0.115,36571
0.084,138973
0.123,18773
0.054,65764
0.069,105059
0.069,82362
0.104,137973
0.052,140015
0.35,34485
0.056,92794
11.738000000000000,48141
0.053,30327
0.323,73967
0.124,68808
35.518000000000001,6846
0.161,10540
0.242,135904
0.044,27233
0.054,23054
0.066,80294
0.07,26219
3.208000000000000,35543
0.057,112318
0.089,106113
0.044,112321
0.052,131799
0.05,80291
0.797,25192
0.104,14621
173.652999999999992,6844
0.066,130728
0.17,123813
0.178,26220
0.052,92795
0.095,28198
0.876,101981
0.048,20861
0.53,7247
0.051,118512
0.064,11567
0.107,59584
0.092,61575
0.136,131798
0.09,89741
0.041,51288
0.042,37647
0.052,66807
0.127,45044
0.239,14622
0.103,86561
0.053,47067
0.165,6502
0.069,60533
0.047,100945
0.227,99945
0.206,119565
0.044,86562
0.064,43025
0.068,65767
0.051,55387
0.042,24139
0.107,27267
0.264,89739
0.043,131797
0.209,80293
0.041,61576
0.045,56415
0.047,91745
0.227,82361
0.081,113283
0.237,140013
0.049,49172
1.269000000000000,6534
0.063,135901
0.719,44036
0.054,77108
0.074,51289
0.067,81324
0.042,9075
0.182,92796
0.073,12603
0.064,129688
0.083,33425
0.192,87639
0.114,27236
0.057,82364
0.044,82365
0.053,61591
0.124,123788
2.244000000000000,6399
3.054000000000000,6876
0.045,20864
0.102,99947
0.071,94858
0.051,102954
0.28,68810
0.328,58490
0.042,94859
0.059,11548
0.479,68811
0.057,118514
0.045,17671
0.053,24143
0.068,90747
0.195,138971
0.297,124847
0.063,128631
0.092,29273
0.063,31420
0.055,17674
0.042,102955
0.253,76073
0.346,113284
4.717000000000000,6921
0.435,128630
0.062,37652
0.068,47090
0.069,34487
0.047,126569
0.065,68813
0.055,56416
0.673,136859
0.049,19817
0.04,106116
0.068,102956
0.055,100969
207.703000000000003,38705
0.099,63709
0.056,66805
0.04,101985
0.26,6537
0.056,96880
0.052,19815
0.071,70889
0.12,40852
0.057,60534
0.087,72880
0.052,116419
0.247,80295
0.154,72881
0.058,76077
0.045,125905
27.326000000000001,6482
1.161000000000000,6492
8.087999999999999,6747
0.041,15608
0.046,76076
0.069,100948
0.184,29274
0.261,140012
0.125,112322
0.041,111242
0.059,66821
0.064,87640
0.134,123790
0.05,132795
0.04,38686
0.089,48148
0.311,55390
0.073,87641
0.107,101999
0.044,100949
0.048,99965
0.069,48149
0.051,114303
0.084,15606
0.148,72882
0.042,20887
0.057,59597
1.269000000000000,19836
0.048,75001
0.077,21963
0.051,137967
0.045,87642
0.071,84515
0.05,54469
0.048,100950
0.043,119567
0.118,87644
0.082,111257
0.049,138968
0.101,35527
0.065,121721
0.083,69873
0.1,112338
0.255,89743
0.102,21964
0.096,50244
0.087,39780
0.043,122734
0.054,64762
12.991536090000000,6810
6.797016330000000,138965
0.07509029,63712
47.213776410000001,119589
0.05464135,88709
0.41400297,134887
0.05015127,91764
0.13902808,65794
0.17900884,19818
0.142,129684
0.116,71864
0.042,32440
0.328,24145
0.051,48150
0.391,129683
0.094,127604
0.042,18747
0.054,69874
0.164,10514
0.058,57485
0.145,85503
0.09,98958
0.238,64763
0.05,122753
0.362,67852
0.163,94860
0.044,123791
0.289,113303
0.119,63730
0.083,61578
0.043,136857
0.08,129682
1.267000000000000,40853
0.107,110190
0.191,134886
0.336,35528
0.1,37655
0.043,115341
0.093,47076
0.072,29275
0.205,10516
1.294000000000000,30332
0.048,40854
0.065,27237
21.167999999999999,24146
0.058,78183
1.088000000000000,112325
0.171,25182
0.045,126568
0.046,10517
0.232,26224
0.244,88692
0.229,107143
0.07,136856
0.065,45046
0.227,30333
0.071,91746
0.086,63713
0.524,66809
0.104,96858
0.051,110191
0.088,126567
0.089,88693
0.487,92799
0.109,31425
2.007000000000000,131790
0.053,20869
0.041,129680
0.069,69875
0.099,100951
0.08,75005
0.065,113286
0.078,140010
0.23,105065
0.247,140009
0.12,119570
0.062,105066
0.044,78185
0.055,50245
0.105,39781
2.183000000000000,37656
0.055,40855
0.046,84519
0.048,12588
0.082,21965
0.115,116422
0.046,62616
0.085,79263
0.873,6892
0.361,39782
1.569000000000000,26225
0.902,109219
0.183,71865
0.358,138963
0.13,60536
0.15,87647
0.155,40856
0.323,110192
0.12,33429
0.156,24148
0.115,131789
0.051,9070
0.044,19821
0.318,45048
1.749000000000000,10518
0.053,16620
0.054,15609
0.377,21968
0.155,138962
1.038000000000000,10519
0.219,65771
0.175,83443
0.056,91747
0.054,69876
0.158,48151
0.084,27239
0.076,15610
0.069,65772
0.113,122738
0.447,98959
0.698,117417
0.104,115342
0.51,80299
0.075,138961
0.119,108124
0.271,104040
0.102,78186
0.296,54445
0.071,89745
0.071,14626
0.043,49179
0.067,105068
0.31,113288
0.134,14627
0.12,70876
1.074000000000000,61579
9.259000000000000,138960
0.088,133880
0.193,85504
0.074,9068
0.502,19822
0.056,80301
0.041,38690
0.042,128626
0.122,134884
0.064,41964
0.404,20870
1.880000000000000,100953
0.096,62629
0.503,52335
0.042,59587
0.043,21970
0.731,70877
5.095000000000000,86566
1.950000000000000,56422
0.053,133879
0.045,83444
0.08,107146
0.055,77109
0.076,113289
4.405000000000000,75009
0.566,75010
0.041,78187
0.134,132793
0.213,125908
0.24,117420
0.061,120630
0.116,124850
0.362,79267
0.092,54447
1.480000000000000,111243
0.042,60541
0.043,118520
0.221,99952
0.193,41966
1.339000000000000,118521
0.087,130720
0.063,85505
0.057,72886
0.047,104041
0.086,90748
0.621,43029
0.076,83445
0.062,92802
0.079,120631
0.091,81328
0.065,111244
0.126,46078
0.053,94862
1.362000000000000,77112
0.07,100955
0.181,24149
0.373,109220
0.072,94863
0.123,130719
0.059,88697
0.214,128624
0.04,26227
0.046,82369
0.193,39784
0.09,60542
0.174,60543
0.069,14629
0.086,24150
0.046,133878
0.318,64779
0.094,79269
0.081,93845
0.082,101987
0.091,125909
0.992,137963
0.285,33431
0.099,87649
0.092,20873
0.205,77113
0.173,16622
0.146,17680
3.849000000000000,87650
0.214,69878
0.189,26229
0.447,89746
0.634,138958
0.07,123795
0.047,68816
0.045,118523
0.101,41967
0.063,73972
0.093,13590
0.121,109221
0.162,53419
0.12,9066
0.059,14631
2.802000000000000,113291
0.071,140008
0.049,44039
0.062,108126
0.322,59588
0.196,84521
0.155,92804
0.682,17681
0.075,92805
0.193,65775
0.059,24151
1.276000000000000,47078
0.06,17682
0.044,96860
0.046,94864
0.25,48154
0.042,12589
0.044,31427
0.173,37658
0.103,27243
1.971000000000000,7126
0.061,44040
0.144,32443
0.064,102961
0.144,18753
0.063,133877
0.211,27244
0.05,127598
0.527,76080
0.047,112327
0.163,33432
0.069,117421
0.08,63715
0.042,92806
0.061,29277
0.2,37659
0.043,111245
0.206,32444
0.05,39787
0.045,33433
0.173,60544
0.045,91749
0.21,49184
0.362,65776
1.130000000000000,131787
0.058,87651
0.233,137962
0.069,60545
0.218,43030
0.442,40858
0.058,35531
0.055,81330
0.07,40859
0.316,109222
0.133,120632
0.746,109223
0.063,37660
0.462,14633
3.682000000000000,108127
0.144,69879
0.049,27245
0.061,122741
1.368000000000000,15616
0.384,68817
1.504000000000000,61580
0.196,102962
0.136,50246
0.271,114306
0.083,24152
0.087,45051
0.193,49185
0.083,97954
1.273000000000000,112328
0.258,64766
0.31,79270
0.056,140005
0.066,47081
0.475,94865
0.083,77116
0.397,98961
0.133,85506
0.388,110193
0.738,6527
0.171,96863
0.051,95862
0.255,36577
0.049,64767
0.053,131786
0.248,46081
0.079,32446
0.126,88699
0.126,102963
0.101,89747
0.105,9063
0.295,65777
0.148,114307
0.101,140997
0.047,67841
1.855000000000000,7298
0.064,133874
0.077,68818
0.048,132790
0.075,82371
1.381000000000000,7153
0.049,79271
0.056,49186
0.044,132789
0.047,10523
0.22,134882
0.095,95863
0.056,77117
0.053,89748
2.695000000000000,102964
0.14,97955
0.094,137958
0.135,18755
0.042,117424
0.314,61581
0.13,20874
0.059,67843
0.067,20875
0.105,46083
0.1,19825
0.2,16626
0.439,28207
0.057,123796
0.079,10524
0.398,65779
0.169,127597
0.063,61582
0.054,107148
0.155,105071
3.666000000000000,10525
0.051,81332
0.47,63718
0.064,48155
0.06,59589
0.096,30337
0.106,101990
0.077,9060
0.083,24153
0.045,131784
0.95,109224
0.06,132787
0.116,37662
0.081,44043
0.071,66814
0.041,98962
2.609000000000000,125913
0.222,132786
1.193000000000000,6845
0.05,37663
0.73,6837
1.500000000000000,97956
0.099,127596
0.476,88700
0.182,107149
0.131,18757
1.244000000000000,16627
0.057,117425
0.105,38692
0.044,60547
0.652,75013
0.048,108128
0.132,140995
0.051,27246
0.042,119571
0.182,25187
0.995,16628
0.166,49188
0.057,94867
0.146,87653
0.12,80307
0.091,112329
0.045,96866
0.055,49189
0.079,78189
0.108,51296
0.149,122743
0.046,15617
0.087,108129
0.055,49190
0.143,92807
0.32,138954
0.304,38693
0.062,109225
0.483,113292
0.045,23065
1.332000000000000,13593
0.045,24155
2.925000000000000,107150
0.137,92808
0.196,111246
0.117,105072
0.041,38694
0.063,12591
0.892,113293
0.67,55394
2.164000000000000,111247
0.366,84525
0.041,56425
0.321,33441
0.253,77118
0.082,52340
0.094,122744
0.103,131783
0.063,122745
0.063,107151
0.195,121708
0.052,112331
0.16,101991
0.074,28209
0.056,106122
0.068,102965
0.064,140003
0.047,46086
0.068,20876
0.065,41972
10.318000000000000,53422
0.105,81335
0.499,58495
0.147,86573
0.078,20877
0.056,68819
0.05,21971
0.04,108131
0.13,129674
0.846,118525
0.05,96869
0.234,78192
0.072,65783
0.477,30339
0.502,80308
0.223,18758
0.041,71867
0.091,40863
0.087,30340
0.04,113294
1.239000000000000,53424
0.046,80309
0.619,135894
0.412,30341
0.041,65784
0.21,34494
0.051,113295
0.54,128621
0.185,11555
0.251,129672
0.787,88702
0.15,58496
0.128,92810
0.388,37665
0.956,78193
0.064,105076
0.135,19827
8.314000000000000,59590
0.054,40864
0.452,130717
0.158,110195
0.042,137955
1.057000000000000,7425
0.088,12592
1.114000000000000,41973
0.056,52342
0.125,59591
0.071,105077
0.152,84529
1.079000000000000,31428
0.093,17684
0.183,140000
0.092,63721
0.07,28211
0.127,84530
0.54,21972
0.055,102969
0.286,29279
0.165,86575
0.041,24157
0.258,101992
0.589,119574
0.628,30342
0.056,33442
2.373000000000000,130716
0.351,31429
0.042,85508
0.111,44045
0.119,52343
0.113,57473
0.047,123799
0.458,56426
0.063,83449
0.522,115348
0.051,100960
0.074,36587
1.286000000000000,56427
0.067,79273
0.53,80310
0.623,7365
0.088,87656
0.083,83450
0.809,102971
0.063,38697
0.097,96870
0.084,139998
0.061,19828
0.075,131781
0.105,27247
0.08,108132
0.056,105079
0.152,21973
0.64,72888
0.066,29281
2.555000000000000,54453
2.915000000000000,21974
0.06,59592
0.133,11556
0.114,46090
0.074,61584
0.16,126565
0.429,125916
0.052,27249
0.048,88704
0.085,32452
0.584,116426
0.125,83451
1.106000000000000,40865
0.064,41974
0.061,94871
0.045,40866
0.577,21975
0.05,13594
0.044,37667
0.102,130715
0.078,36578
0.142,47083
0.108,73976
0.06,108133
0.076,108134
0.04,75016
0.122,130714
0.108,109228
0.102,96871
0.083,135892
0.043,17687
0.048,50249
0.053,11559
0.047,69881
0.085,26235
0.079,10526
0.247,11560
0.059,50250
0.954,7231
2.218000000000000,7437
0.095,58499
0.741,89753
1.654000000000000,12594
0.065,111248
0.151,43033
0.073,40867
0.602,117429
0.104,50251
0.151,65786
0.049,101994
0.043,128617
0.071,108135
0.067,26236
0.061,64770
0.05,115349
0.141,33443
0.413,18760
4.867000000000000,16635
0.072,50252
0.126,126563
0.044,46091
0.179,9056
0.112,92812
0.079,56429
0.249,21977
0.076,102974
0.043,70881
0.044,41975
0.056,56430
0.245,53426
0.055,43035
0.057,55396
0.043,83452
0.076,83453
0.107,111250
0.185,65787
0.165,119581
0.055,31431
0.155,48159
0.055,122747
0.068,36579
0.105,28214
1.157000000000000,82375
0.083,33444
0.515,7295
0.199,138949
0.186,82376
0.077,14638
0.228,121715
0.473,7405
0.121,44050
0.183,112332
0.065,56431
0.048,18761
0.216,40868
0.047,82377
0.233,65788
0.052,41976
0.316,133868
0.042,87657
0.066,113296
0.097,116428
0.277,75018
0.095,64771
0.083,17689
0.11,118528
0.355,63724
0.042,104043
0.059,66815
0.185,123804
0.097,95866
0.04,110199
2.505000000000000,119582
0.044,13596
0.165,79274
0.1,21978
0.059,10529
0.306,96872
0.067,125920
0.253,45055
0.085,71870
0.047,28215
0.052,57476
0.595,110200
0.09,131779
0.355,69882
0.069,24159
0.136,39792
0.12,85510
0.108,32455
0.057,39793
0.088,121716
0.132,12595
0.042,20880
0.198,84532
