SA_SQ_KM,lagoslakei
0.399,65487
0.414,6944
0.046,38390
0.046,117158
0.052,59265
0.102,36259
0.043,40553
0.066,62313
0.041,73646
0.102,59266
0.154,110964
0.129,136168
0.063,37354
0.088,22768
0.118,104771
0.046,27919
0.702,65472
0.06,81013
0.361,6976
0.379,19522
0.527,100645
0.044,66509
0.05,28973
0.055,101684
0.531,7368
0.068,83135
0.048,47837
0.212,85211
0.106,7125
0.103,7075
0.205,99660
0.176,110967
0.5,103733
0.045,65473
0.173,93550
0.046,15332
0.068,19523
0.042,67554
0.098,105850
0.098,105851
0.165,30029
0.045,35217
0.133,71581
0.136,110969
0.156,140316
0.04,24864
0.046,37356
0.14,6541
0.262,136166
0.048,33153
0.318,61287
0.079,82069
0.043,40547
0.073,33154
0.056,73648
1.049000000000000,122456
0.042,76813
0.178,6827
0.085,124542
0.086,78990
0.157,104772
0.149,112003
0.176,23847
0.211,38393
0.263,14309
0.162,138250
0.064,74702
0.071,86272
0.068,11241
0.053,137167
0.134,48891
0.046,76814
0.08,24865
0.041,105852
0.199,52041
0.073,53115
0.106,119257
0.049,98645
0.045,25921
0.488,43746
0.048,33155
0.282,6508
0.044,35219
0.048,122457
0.049,14310
0.069,122458
0.062,32176
11.532999999999999,6873
0.075,13285
0.053,82070
0.132,115057
0.065,113030
0.096,61289
0.15,140315
0.083,79997
0.054,71582
0.492,131031
0.105,129992
0.318,40549
0.073,98646
0.078,19524
0.041,132072
0.056,125623
0.109,92498
1.139000000000000,9389
0.393,103736
0.064,44787
0.073,127878
0.084,38394
0.861,84222
0.295,140314
0.094,118176
0.181,129990
0.055,45772
0.126,85213
0.107,116131
0.723,87344
0.424,71584
0.269,115058
0.05,95564
1.442000000000000,35220
0.056,81018
0.139,102688
0.078,96591
0.088,36261
0.061,101686
0.113,62317
0.092,34189
0.376,56130
0.045,46785
0.064,99663
0.054,59271
0.095,113979
0.048,43748
0.162,67556
0.047,14313
0.052,68554
0.202,100647
0.075,27920
0.069,91480
0.98,38395
9.622000000000000,7236
0.104,91481
0.044,121417
0.098,54131
0.264,95565
0.24,75775
0.045,11243
0.23,134156
0.041,139255
0.041,92502
0.092,67557
0.154,62319
0.045,23848
0.78,23849
0.429,90471
0.051,103737
0.072,13287
0.296,120352
0.475,6725
0.066,121419
0.151,129989
0.163,60267
0.153,9388
0.62,84223
0.04,37361
0.24,64435
0.457,53120
0.093,113981
0.074,140313
0.084,50983
0.166,127877
0.085,115059
0.18,38396
0.054,135207
0.105,36266
0.121,26962
0.144,123518
0.084,54132
0.041,30036
0.046,103738
0.118,103739
0.046,98673
0.055,118178
0.123,24867
0.056,76817
0.139,118179
0.064,82071
0.081,90473
0.429,88411
0.079,78995
0.136,78996
0.05,113034
0.137,41653
0.081,120353
0.184,115061
0.11,78997
0.079,60255
0.083,123519
0.122,44789
0.129,127876
0.107,113982
0.044,46787
0.126,99667
0.044,86275
0.104,47841
0.043,52045
0.055,139254
0.276,40554
0.086,22772
0.044,73652
0.099,92504
0.042,101689
0.041,28977
0.17,28978
0.137,79999
0.052,86276
0.064,74707
0.149,23851
0.052,132069
0.041,97630
0.067,132068
0.092,15337
0.293,94565
0.049,120355
0.057,120356
0.06,18448
0.052,92505
0.122,135206
0.122,141270
0.104,122462
0.055,52046
0.381,65477
0.176,82073
0.058,16352
0.656,122464
0.055,81020
0.057,32181
0.203,68559
0.056,28979
0.063,132066
0.054,20594
0.054,126850
0.206,129986
0.121,21660
0.069,57171
0.16,113036
0.05,23853
0.063,106840
0.049,92507
0.093,101691
0.088,37363
0.042,64436
0.06,64437
0.118,82074
1.109000000000000,81021
0.236,80001
0.071,64438
0.155,41654
0.117,87348
0.573,109920
0.066,20595
0.082,83138
0.087,78998
0.604,121423
0.043,82075
0.302,6440
0.049,107846
0.065,108890
0.047,28980
0.272,67561
0.043,140310
0.048,88414
0.404,47842
1.541000000000000,12282
0.055,136159
0.159,17394
0.062,131024
0.426,31098
0.061,27923
0.064,139250
0.072,127874
0.058,121424
0.142,12283
0.058,39484
0.053,81022
0.066,31099
0.109,83139
0.058,110973
0.043,137163
0.195,6494
0.137,88416
0.063,31100
0.046,82076
0.136,126848
0.186,73657
0.149,139249
0.086,17396
0.043,48893
0.12,118236
0.049,56135
0.061,87350
0.053,58225
0.184,46791
0.043,137161
0.226,52047
0.184,15339
0.18,103741
0.22,62324
0.084,78999
0.043,21662
0.061,59276
0.08,138246
0.043,129983
0.459,23857
0.399,81023
0.071,64439
0.059,100650
0.069,45775
0.081,109921
0.047,28981
0.166,115066
0.092,17397
0.093,120359
0.166,125630
0.236,31102
0.266,123521
0.058,100651
1.069000000000000,7334
0.471,106841
0.04,100652
0.055,135199
0.37,83141
0.075,55139
0.04,33159
0.04,110975
0.159,129982
0.068,15341
0.053,45776
0.123,99668
0.156,54139
0.08,33160
0.053,76818
0.189,124548
0.051,26965
0.428,123524
0.041,46793
0.05,79002
0.05,53122
0.186,113986
0.047,66519
0.061,91483
0.06,128917
0.156,63415
0.228,30039
0.057,133089
0.218,97634
0.092,118186
0.317,6715
0.072,60257
0.068,38399
0.059,24870
1.554000000000000,90475
0.48,7063
0.142,24871
0.129,138244
0.05,38400
0.055,88418
0.064,22774
0.59,53123
0.215,107849
0.042,36268
0.054,24873
0.053,132063
0.123,35227
0.074,119261
0.151,125631
0.322,101693
0.059,42721
0.061,16354
0.123,6936
0.054,17398
0.396,125632
0.085,32183
0.084,14320
0.049,132061
0.179,23859
0.214,18452
0.058,94584
0.074,25926
0.072,45780
0.081,32184
0.445,6477
0.085,104777
0.092,28984
0.051,129981
0.042,30041
1.254000000000000,6536
0.046,77868
0.045,86281
0.048,20600
0.096,98656
0.458,120360
0.05,103742
0.104,96594
0.062,90476
0.064,125633
0.423,77869
0.126,81026
0.07,24875
0.062,25927
0.056,37367
0.112,42724
0.205,132060
0.051,98657
0.08,118188
0.283,136154
0.06,100655
0.196,38402
0.121,74710
0.04,97636
0.152,98658
0.061,27927
2.731000000000000,6521
0.055,86282
0.446,26969
0.429,25928
0.525,6433
0.116,135196
0.138,133087
0.054,123526
0.092,137158
0.043,75780
0.14,19530
0.054,31106
0.115,41660
0.101,47849
0.18,100657
0.058,80004
0.325,62330
0.046,73660
0.1,94570
0.112,84230
0.161,69573
0.044,69574
0.129,82078
0.065,24876
0.051,14324
0.04,107851
0.065,27928
0.228,103744
0.128,12286
0.191,24877
0.041,52053
0.049,72606
0.048,11249
0.078,16355
0.125,16356
0.674,133086
0.195,131021
0.182,113042
0.042,47851
